Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
SLC1A2	-1.39151452910752	0.226690515171692	-12.9264678461022	3.81657127133395e-27	6.05377001214715e-23	50.8773243005414
SIGLEC11	-1.82081189806961	0.262447306211924	-12.8533345316562	6.18236316599994e-27	6.05377001214715e-23	50.4069175815695
ESRRB	-1.23574327543324	0.186026025490091	-12.4122638535038	1.13262215559481e-25	7.39375743172294e-22	47.5702285823783
GUCA1C	-1.09193545508149	0.103645882395393	-12.2884210644809	2.56101262690875e-25	1.25387178213452e-21	46.774178359398
ASB11	-1.625340033969	0.14238925059342	-12.203463972158	4.48101653418899e-25	1.75512455611115e-21	46.2282760989073
AQP4	-2.2966502144507	0.218713446420663	-11.9582074055341	2.24993652402704e-24	7.34379281442425e-21	44.6535228675919
CCKAR	-2.40575753744334	0.240217585348682	-11.7635027921212	8.08585665162461e-24	2.11954917545249e-20	43.4049587538274
ATP4A	-5.51823664699832	0.55087179637851	-11.7530836747685	8.6582891154105e-24	2.11954917545249e-20	43.3381930241786
CKMT2	-1.81275655092795	0.556700192088157	-11.6135043661652	2.1633951173372e-23	4.70754777532575e-20	42.4443000721175
TPX2	2.86189988947535	4.93713782269323	11.5197761838053	3.99864571298043e-23	7.83094776430088e-20	41.8446484152972
ATP4B	-5.69766630264465	0.598252484066149	-11.4772465091344	5.28303582697419e-23	9.40572487595114e-20	41.572726847063
C16orf89	-3.24847911526032	0.600099663018915	-11.4114471847586	8.12712523846948e-23	1.32634683891822e-19	41.1522529199825
ETNPPL	-2.04252758729457	0.224419833876503	-11.3434872487521	1.26762982371375e-22	1.90963557443155e-19	40.7182757457336
SLC26A7	-1.43761429879304	0.222738244234923	-11.3235383310579	1.44422139738223e-22	2.02025941759525e-19	40.5909474103837
DCAF12L1	-0.608973541828555	0.0504647909512964	-11.2819194563224	1.89566111798941e-22	2.47497515564698e-19	40.3253981340698
PGA4	-3.23679564957628	0.254590596234942	-11.1941097720293	3.36354107651379e-22	4.11697427765288e-19	39.7655537393965
ESRRG	-2.14627993346262	0.323092238419912	-11.0796879562548	7.09396134984137e-22	8.17224347501725e-19	39.0369594767247
CCKBR	-2.61886965200001	0.315362495524809	-11.0400831302147	9.18228040409922e-22	9.99032107965995e-19	38.7850279142046
GPER1	-2.47193683840092	1.06052669605118	-10.9436294438741	1.72029238236807e-21	1.7731687376998e-18	38.1720579375227
HTR1E	-0.723300068128148	0.0680925669020977	-10.8967113958652	2.33393177291203e-21	2.28538599203546e-18	37.874202432447
CKM	-2.57491828854479	0.434266775668825	-10.8511789164013	3.13740327452793e-21	2.92585265373119e-18	37.5853463588171
PGA5	-5.83175526109192	0.59931903058266	-10.8374369729006	3.43027501230062e-21	3.05356844731343e-18	37.4982082769077
