Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cellular response to glucose stimulus	GOTERM_BP_DIRECT	5	11.904761904761903	2.0522699139719223e-05	ERN1, PRKAA2, GPER1, GATA4, FOXO3	42	77	19462	30.089672232529374	0.0163852200155142	0.0143978894546737	0.0143084615698621
protein phosphorylation	GOTERM_BP_DIRECT	8	19.047619047619047	3.577115392465534e-05	ERN1, PINK1, PRKAA2, CTSG, BMPR1B, FNIP2, PRKAB1, HIPK2	42	445	19462	8.330444087747457	0.0283856319668166	0.0143978894546737	0.0143084615698621
negative regulation of cell adhesion mediated by integrin	GOTERM_BP_DIRECT	3	7.142857142857142	0.0001927794500620613	ACER2, MUC1, CYP1B1	42	10	19462	139.0142857142857	0.1437581585622669	0.0517291524333197	0.051407853349883
sphingosine biosynthetic process	GOTERM_BP_DIRECT	3	7.142857142857142	0.000446825637516947	ACER2, ABCA2, ASAH2	42	15	19462	92.67619047619048	0.3021666948236856	0.0899236595502855	0.0893651275033894
male gonad development	GOTERM_BP_DIRECT	4	9.523809523809524	0.0016866752512614	AR, KIT, CYP1B1, GATA4	42	112	19462	16.549319727891156	0.7430618611708306	0.2513491533406063	0.2497879784751367
positive regulation of macroautophagy	GOTERM_BP_DIRECT	3	7.142857142857142	0.002193614716992	PINK1, PRKAA2, SESN1	42	33	19462	42.12554112554112	0.8292917794271839	0.2513491533406063	0.2497879784751367
negative regulation of apoptotic signaling pathway	GOTERM_BP_DIRECT	3	7.142857142857142	0.0023276141586934	ASAH2, CTH, GATA4	42	34	19462	40.88655462184874	0.8467850508345034	0.2513491533406063	0.2497879784751367
response to xenobiotic stimulus	GOTERM_BP_DIRECT	5	11.904761904761903	0.0026879307739544	ABCA2, SST, CA9, GATA4, FOXO3	42	277	19462	8.364277118789753	0.8854446934331031	0.2513491533406063	0.2497879784751367
cellular response to hypoxia	GOTERM_BP_DIRECT	4	9.523809523809524	0.0028101147578452	PINK1, PTGIS, FOXO3, HIPK2	42	134	19462	13.83226723525231	0.8962038902220585	0.2513491533406063	0.2497879784751367
positive regulation of gene expression	GOTERM_BP_DIRECT	6	14.285714285714285	0.0044907642822324	IL33, AR, GPER1, BMPR1B, CLU, PRKAB1	42	519	19462	5.357005229837599	0.9733030735361912	0.3170773015612567	0.315107877327957
negative regulation of TORC1 signaling	GOTERM_BP_DIRECT	3	7.142857142857142	0.0045937678408706	PRKAA2, DEPTOR, SESN1	42	48	19462	28.96130952380952	0.9754367302711036	0.3170773015612567	0.315107877327957
positive regulation of angiogenesis	GOTERM_BP_DIRECT	4	9.523809523809524	0.0051220079288014	PTGIS, CYP1B1, GATA4, HIPK2	42	166	19462	11.16580608146873	0.9839783148542424	0.3170773015612567	0.315107877327957
endoplasmic reticulum unfolded protein response	GOTERM_BP_DIRECT	3	7.142857142857142	0.0053714966934371	ERN1, CTH, HERPUD1	42	52	19462	26.73351648351648	0.9869074238680206	0.3170773015612567	0.315107877327957
positive regulation of cell proliferation	GOTERM_BP_DIRECT	6	14.285714285714285	0.0055143878532392	ACER2, AR, GPER1, KIT, GAB2, HIPK2	42	545	19462	5.101441677588467	0.9883373845610212	0.3170773015612567	0.315107877327957
mast cell chemotaxis	GOTERM_BP_DIRECT	2	4.761904761904762	0.0063070267995822	CHGA, KIT	42	3	19462	308.92063492063494	0.9938618697068752	0.3384771049109125	0.3363747626443851
cellular response to glucose starvation	GOTERM_BP_DIRECT	3	7.142857142857142	0.0075592431567092	PRKAA2, SESN1, FOXO3	42	62	19462	22.421658986175117	0.9977756866716898	0.3756994088671571	0.3733658721661189
epithelial cell differentiation involved in prostate gland development	GOTERM_BP_DIRECT	2	4.761904761904762	0.0084007321237376	AR, PSAPL1	42	4	19462	231.69047619047615	0.9988763295937364	0.3756994088671571	0.3733658721661189
regulation of protein glycosylation	GOTERM_BP_DIRECT	2	4.761904761904762	0.0084007321237376	ACER2, ABCA2	42	4	19462	231.69047619047615	0.9988763295937364	0.3756994088671571	0.3733658721661189
platelet activation	GOTERM_BP_DIRECT	3	7.142857142857142	0.0092914584164846	FGA, FGG, CTSG	42	69	19462	20.146997929606624	0.9994549260507872	0.3936644223826409	0.3912193017467238
positive regulation of protein phosphorylation	GOTERM_BP_DIRECT	4	9.523809523809524	0.0119070178909472	PINK1, GPER1, LEPR, HIPK2	42	226	19462	8.201432785503581	0.9999351005717456	0.4401333736708088	0.4373996260082572
positive regulation of ERK1 and ERK2 cascade	GOTERM_BP_DIRECT	4	9.523809523809524	0.0124810643763982	FGA, GPER1, FGG, GATA4	42	230	19462	8.058799171842649	0.9999593488607248	0.4401333736708088	0.4373996260082572
negative regulation of oxidative stress-induced cell death	GOTERM_BP_DIRECT	2	4.761904761904762	0.0125752392477373	PINK1, GATA4	42	6	19462	154.46031746031747	0.9999623529622736	0.4401333736708088	0.4373996260082572
positive regulation of dopamine secretion	GOTERM_BP_DIRECT	2	4.761904761904762	0.0125752392477373	PINK1, CXCL12	42	6	19462	154.46031746031747	0.9999623529622736	0.4401333736708088	0.4373996260082572
voluntary musculoskeletal movement	GOTERM_BP_DIRECT	2	4.761904761904762	0.0146560582856526	ITPR1, HIPK2	42	7	19462	132.39455782312925	0.9999931099904	0.4676545968055952	0.4647499098689145
ceramide catabolic process	GOTERM_BP_DIRECT	2	4.761904761904762	0.0146560582856526	ACER2, ASAH2	42	7	19462	132.39455782312925	0.9999931099904	0.4676545968055952	0.4647499098689145
positive regulation of autophagy	GOTERM_BP_DIRECT	3	7.142857142857142	0.0151043720707397	PRKAA2, DEPTOR, FOXO3	42	89	19462	15.619582664526485	0.9999952234018962	0.4676545968055952	0.4647499098689145
blood coagulation, fibrin clot formation	GOTERM_BP_DIRECT	2	4.761904761904762	0.0167325991034168	FGA, FGG	42	8	19462	115.84523809523807	0.9999987391283022	0.4730600179216379	0.4701217569407581
prostate gland growth	GOTERM_BP_DIRECT	2	4.761904761904762	0.0167325991034168	AR, PSAPL1	42	8	19462	115.84523809523807	0.9999987391283022	0.4730600179216379	0.4701217569407581
cellular response to oxidative stress	GOTERM_BP_DIRECT	3	7.142857142857142	0.0177698339508288	PINK1, PRKAA2, FOXO3	42	97	19462	14.331369661266567	0.999999460885876	0.4730600179216379	0.4701217569407581
positive regulation of cell migration	GOTERM_BP_DIRECT	4	9.523809523809524	0.0185439634349916	CXCL12, SYNPO2, GPER1, KIT	42	267	19462	6.942036739789548	0.999999714218121	0.4730600179216379	0.4701217569407581
microglial cell proliferation	GOTERM_BP_DIRECT	2	4.761904761904762	0.0188048702776303	IL33, CLU	42	9	19462	102.97354497354496	0.9999997692806532	0.4730600179216379	0.4701217569407581
peptidyl-serine autophosphorylation	GOTERM_BP_DIRECT	2	4.761904761904762	0.0188048702776303	ERN1, PINK1	42	9	19462	102.97354497354496	0.9999997692806532	0.4730600179216379	0.4701217569407581
positive regulation of peptide hormone secretion	GOTERM_BP_DIRECT	2	4.761904761904762	0.0229366379231535	FGA, FGG	42	11	19462	84.25108225108224	0.999999992276816	0.5430586331805475	0.5396855981918485
plasminogen activation	GOTERM_BP_DIRECT	2	4.761904761904762	0.0229366379231535	FGA, FGG	42	11	19462	84.25108225108224	0.999999992276816	0.5430586331805475	0.5396855981918485
positive regulation of sequence-specific DNA binding transcription factor activity	GOTERM_BP_DIRECT	3	7.142857142857142	0.0256262236789871	PINK1, KIT, HIPK2	42	118	19462	11.780871670702178	0.9999999991603512	0.5894031446167043	0.585742255519706
intracellular steroid hormone receptor signaling pathway	GOTERM_BP_DIRECT	2	4.761904761904762	0.0270514294970063	AR, GPER1	42	13	19462	71.28937728937728	0.9999999997415616	0.6049000206969484	0.6011428777112531
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage	GOTERM_BP_DIRECT	2	4.761904761904762	0.0311493130122094	CXCL12, CLU	42	15	19462	61.78412698412698	0.999999999991355	0.6429537685853498	0.6389602669171178
positive regulation of heterotypic cell-cell adhesion	GOTERM_BP_DIRECT	2	4.761904761904762	0.0311493130122094	FGA, FGG	42	15	19462	61.78412698412698	0.999999999991355	0.6429537685853498	0.6389602669171178
DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	GOTERM_BP_DIRECT	2	4.761904761904762	0.0311493130122094	MUC1, HIPK2	42	15	19462	61.78412698412698	0.999999999991355	0.6429537685853498	0.6389602669171178
protein polymerization	GOTERM_BP_DIRECT	2	4.761904761904762	0.0331919354321887	FGA, FGG	42	16	19462	57.92261904761904	0.999999999998419	0.657506199529995	0.6534223100919204
positive regulation of apoptotic process	GOTERM_BP_DIRECT	4	9.523809523809524	0.0337966449971209	GPER1, CYP1B1, FOXO3, CLU	42	337	19462	5.500070651405963	0.9999999999990448	0.657506199529995	0.6534223100919204
DNA damage response, signal transduction by p53 class mediator	GOTERM_BP_DIRECT	2	4.761904761904762	0.0352303562202274	ACER2, FOXO3	42	17	19462	54.51540616246498	0.9999999999997108	0.657506199529995	0.6534223100919204
response to steroid hormone	GOTERM_BP_DIRECT	2	4.761904761904762	0.0372645838065803	ABCA2, SST	42	18	19462	51.48677248677248	0.9999999999999472	0.657506199529995	0.6534223100919204
cellular response to interleukin-6	GOTERM_BP_DIRECT	2	4.761904761904762	0.0372645838065803	PTGIS, FGG	42	18	19462	51.48677248677248	0.9999999999999472	0.657506199529995	0.6534223100919204
regulation of protein ubiquitination	GOTERM_BP_DIRECT	2	4.761904761904762	0.039294626597945	PINK1, HERPUD1	42	19	19462	48.77694235588972	0.9999999999999905	0.657506199529995	0.6534223100919204
