Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
apoptotic process	GOTERM_BP_DIRECT	80	27.027027027027028	6.482524128443098e-51	HIP1, TNFAIP3, CIB1, TRIAP1, CTSV, NOC2L, YBX3, BBC3, PYCARD, TMEM102, CASP8, OPA1, CASP3, CTSK, ZC3H12A, PEA15, TNFSF10, CASP1, CASP2, PIM2, TMEM14A, TP63, CTSC, ZNF385A, NKX3-1, DAXX, TNFRSF12A, PARP1, RIPK2, PAWR, TRAF2, MMP9, TRAF7, IL1A, MELK, RRAGC, IRF1, PSME3, IL1B, TNFRSF25, S100A9, PPIA, DAP3, PSMD10, PPP1R15A, RALB, RNF34, BCL2A1, BCL10, STK4, STK3, DEDD2, BCL2L12, TFPT, BCL2L11, RPS3, PMAIP1, CD14, BAK1, FADD, BID, PAK2, DEDD, BCAP31, PLK3, SIVA1, DDIAS, BIK, SIAH2, SIAH1, GZMB, TNFRSF10B, TNFRSF10A, PML, NFKBIA, CYCS, BAX, FAS, LTBR, TP73	294	620	19462	8.541584375685758	1.8818767544870308e-47	1.8818767544870308e-47	1.7444472429640372e-47
positive regulation of apoptotic process	GOTERM_BP_DIRECT	36	12.162162162162163	1.6013091247568437e-19	BCL2A1, PRKDC, HTRA2, HMGB1, BCL10, STK4, PTGS2, STK3, BBC3, PYCARD, TFPT, CASP8, BCL2L11, CASP3, E2F1, TNFSF10, CASP2, PMAIP1, BAK1, FADD, DNM1L, BID, PHLDA3, TGFB1, TNFRSF12A, RIPK2, SIAH1, PAWR, TNFRSF10B, TNFRSF10A, MMP9, DNAJA1, MELK, BAX, FAS, TP73	294	337	19462	7.071519408950524	4.648600389169117e-16	2.3243001945845587e-16	2.154561427360333e-16
intrinsic apoptotic signaling pathway in response to DNA damage	GOTERM_BP_DIRECT	18	6.081081081081082	8.749411217951176e-19	BCL2A1, PRKDC, HTRA2, BRCA1, SOD2, PML, MSH6, POLB, BCL2L11, CHEK2, E2F1, CASP2, BAX, SFN, BAK1, IKBKE, EPHA2, TP73	294	52	19462	22.914442700156982	2.5399540765712258e-15	8.466513588570756e-16	7.848221862502205e-16
extrinsic apoptotic signaling pathway	GOTERM_BP_DIRECT	17	5.743243243243244	2.853982132082402e-17	PDIA3, TGFB2, GSK3A, TGFB1, SMAD3, SIVA1, PARP2, CIB1, TNFRSF10A, INHBA, PML, CASP8, CTTN, FAS, BAX, FADD, BID	294	52	19462	21.64141810570382	8.285110129435213e-14	2.0712775323588033e-14	1.920016479358436e-14
apoptotic signaling pathway	GOTERM_BP_DIRECT	18	6.081081081081082	5.2159111115939465e-16	HIP1, PDCD6, PCGF2, PAWR, BBC3, SENP1, TFPT, SGPL1, TYROBP, CASP8, CASP3, CASP2, BAX, ST20, TNFRSF25, BAK1, FADD, DAP3	294	73	19462	16.322616717920045	1.611488720243415e-12	3.028357991391445e-13	2.807203360259862e-13
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	GOTERM_BP_DIRECT	14	4.72972972972973	6.707350465433673e-16	DYRK2, SHISA5, AEN, BRCA2, PML, BBC3, PYCARD, SNW1, MSH2, CHEK2, BCL3, TP63, TP73, PHLDA3	294	33	19462	28.08369408369408	1.9337864642920977e-12	3.234553433129743e-13	2.998340781450961e-13
regulation of apoptotic process	GOTERM_BP_DIRECT	28	9.45945945945946	7.799474347884327e-16	HIP1, BCL10, DEDD2, BCL2L12, PYCARD, TMEM102, CASP8, BCL2L11, PEA15, CASP1, RPS3, CASP2, ABL2, FADD, PAK2, DEDD, CTSB, DAXX, HSP90AA1, STAT1, BIK, TNFRSF10B, TRAF2, CDK5, BCL3, BAX, FAS, TNFRSF25	294	246	19462	7.534649632210607	2.256084208340781e-12	3.234553433129743e-13	2.998340781450961e-13
negative regulation of apoptotic process	GOTERM_BP_DIRECT	39	13.175675675675674	2.650843590039012e-15	PSMD10, BCL2A1, TFRC, PRKDC, HDAC1, GSTP1, TAF9, HSPB1, CIB1, TRIAP1, AATF, YBX3, MTDH, OPA1, PDCD10, CASP3, CASP2, PIM2, PAK2, TMEM14A, PLK3, PRNP, SMAD3, SIAH2, PLK2, PLAUR, EIF2AK2, MIF, SOD2, MMP9, YWHAZ, DNAJA1, HNRNPK, BCL3, PPT1, FAS, CD44, HSPA1B, HSPA1A	294	542	19462	4.763272836810001	7.735145857168389e-12	9.619248677354064e-13	8.916775125993725e-13
positive regulation of intrinsic apoptotic signaling pathway	GOTERM_BP_DIRECT	14	4.72972972972973	4.044727180595934e-15	BCAP31, SIAH1, STYXL1, BBC3, BCL2L11, LCK, DDIT3, BAX, PLAGL2, PMAIP1, DNM1L, BID, S100A9, NKX3-1	294	37	19462	25.047619047619047	1.1602718785752586e-11	1.3046492228077774e-12	1.2093734269981845e-12
positive regulation of extrinsic apoptotic signaling pathway	GOTERM_BP_DIRECT	13	4.391891891891892	7.316640321914808e-15	PDIA3, TNFRSF12A, TRAF2, BCL10, PML, DEDD2, PYCARD, TNFSF10, FADD, LTBR, RBCK1, BID, PAK2	294	30	19462	28.685487528344677	2.1271651107213074e-11	1.9908959618573958e-12	1.84550500632389e-12
positive regulation of I-kappaB kinase/NF-kappaB signaling	GOTERM_BP_DIRECT	25	8.445945945945946	7.543870334285691e-15	TFRC, BCL10, MTDH, SHARPIN, CASP8, TBK1, CASP1, S100A13, TNFSF10, FADD, PIM2, TRIM21, IKBKE, PARP1, RIPK2, PLK2, SHISA5, TNFRSF10B, TRAF2, IL1A, IL1B, TRIM14, LTBR, RBCK1, GAPDH	294	205	19462	8.072838891654222	2.191624659531044e-11	1.9908959618573958e-12	1.84550500632389e-12
release of cytochrome c from mitochondria	GOTERM_BP_DIRECT	12	4.054054054054054	1.563857203562542e-14	GGCT, BCL2A1, CASP2, BAX, PMAIP1, SFN, BAK1, SOD2, DNM1L, BID, TIMM50, BBC3	294	24	19462	33.09863945578231	4.5443981910864295e-11	3.783231218285049e-12	3.5069497789890005e-12
positive regulation of release of cytochrome c from mitochondria	GOTERM_BP_DIRECT	12	4.054054054054054	7.86239234825016e-14	PYCARD, BCL2L11, BIK, PLAUR, TNFSF10, BAX, PMAIP1, BAK1, DNM1L, BID, MMP9, BBC3	294	27	19462	29.42101284958428	2.281868027864675e-10	1.640168776188952e-11	1.5203906912588597e-11
activation of cysteine-type endopeptidase activity involved in apoptotic process	GOTERM_BP_DIRECT	17	5.743243243243244	7.9098735331193e-14	HIP1, SMAD3, PDCD6, PML, BBC3, SENP1, PYCARD, BCL2L11, CASP8, LCK, CASP2, BAX, PMAIP1, ST20, BID, S100A9, NKX3-1	294	82	19462	13.72382611581218	2.2947599376266223e-10	1.640168776188952e-11	1.5203906912588597e-11
positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	GOTERM_BP_DIRECT	9	3.040540540540541	1.0519024046163717e-13	YWHAE, YWHAQ, YWHAB, NMT1, GZMB, YWHAZ, YWHAG, BBC3, YWHAH	294	10	19462	59.57755102040816	3.0521596361410275e-10	2.0357817870675512e-11	1.8871129138817703e-11
extrinsic apoptotic signaling pathway via death domain receptors	GOTERM_BP_DIRECT	13	4.391891891891892	4.154295133584612e-13	DAXX, HMGB2, TNFRSF10B, TNFRSF10A, STK4, STK3, DEDD2, CASP8, BLOC1S2, BAX, FADD, BID, DEDD	294	40	19462	21.514115646258503	1.2060381582301716e-09	7.537449232997579e-11	6.987005127797619e-11
cellular response to DNA damage stimulus	GOTERM_BP_DIRECT	27	9.12162162162162	6.132347308529111e-13	PPP1R15A, DYRK2, USP10, PRKDC, TAF9, CIB1, BRCA1, AATF, BBC3, POLB, CHEK2, CASP3, ZC3H12A, RPS3, CASP2, PMAIP1, ZNF385A, TP63, NKX3-1, LYN, PLK3, PARP1, PARP2, DDIT3, BCL3, TP73, OTUB1	294	298	19462	5.99774003561156	1.7803727381249244e-09	1.0471884845094123e-10	9.707145063089315e-11
response to gamma radiation	GOTERM_BP_DIRECT	11	3.716216216216216	5.301381567662165e-12	POLB, IL1A, GPX1, PARP1, FANCD2, PRKDC, BAX, BAK1, BRCA2, SOD2, PML	294	28	19462	26.006073858114675	1.5390039465046357e-08	8.549950383846256e-10	7.925565443654937e-10
positive regulation of NF-kappaB transcription factor activity	GOTERM_BP_DIRECT	20	6.756756756756757	6.27386477477368e-12	TGFB1, TFRC, RIPK2, RTKN2, STAT3, EIF2AK2, TRAF2, CIB1, BCL10, MTDH, PYCARD, IL1B, RPS3, TRIM14, RBCK1, PPIA, S100A9, TRIM21, HSPA1B, HSPA1A	294	164	19462	8.072838891654223	1.821304540516877e-08	9.585804969035786e-10	8.885773741534721e-10
regulation of autophagy	GOTERM_BP_DIRECT	15	5.067567567567568	6.712203383061092e-12	USP13, USP10, CISD2, HSPB1, KEAP1, GPR137B, ZMPSTE24, PYCARD, RRAGC, LAMP3, DDIT3, CHMP4B, ABL2, TRIB3, RAB8A	294	76	19462	13.065252416756175	1.9485476787650672e-08	9.742763210513172e-10	9.031269651908701e-10
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	GOTERM_BP_DIRECT	13	4.391891891891892	1.3064652101877611e-11	BCAP31, SYK, PDCD6, HTRA2, HMGB1, BCL10, PYCARD, BCL2L11, CASP1, TNFSF10, PMAIP1, CYCS, NKX3-1	294	52	19462	16.549319727891156	3.7926708662539e-08	1.8060326215119382e-09	1.674141847912031e-09
