Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
MMP1	3.04695400409028	5.21533504198252	5.10260437537566	8.795156222016e-07	1.25815258455099e-05	5.24893703427723
S100A9	2.83037187833481	8.44247522774518	2.71776169776323	0.0072452533580304	0.0253060534623985	-3.18782107753828
SFN	2.62820173079141	8.05300142728814	4.27286562437394	3.18832570211493e-05	0.0002642410941608	1.83214766937162
MMP9	2.28551444382753	3.33452839375119	4.64263139028113	6.80066699761247e-06	7.12215307386324e-05	3.29709455899955
LAMP3	2.24944704494963	2.98199941402604	6.43163073252788	1.20376089203023e-09	4.39821890102985e-08	11.6004628096495
TP63	2.21394453594888	3.60871722815875	2.45809044012202	0.0149586638190237	0.0460197087667024	-3.82976098196198
INHBA	2.0726098306922	2.83947267731552	4.70150743781027	5.27345582439489e-06	5.71845840891194e-05	3.53909982539794
MELK	2.06743103864825	3.2969649194496	9.16877247113886	1.43613686611007e-16	4.13607417439701e-14	27.1093189997539
HSPB1	2.05352422023157	8.94518527470382	4.06075754624363	7.41770727934904e-05	0.0005402319797648	1.03602128600306
TFRC	2.00703416324338	5.229519995332	6.22629848580722	3.5409296118141603e-09	1.09033908046806e-07	10.5568491078016
PERP	1.84685901264897	7.43460852451878	3.8894205160221	0.0001433771157635	0.0009527985867368	0.417333989904324
SERPINE1	1.84092981344459	5.16935400107614	3.40956457336989	0.0008106447716312	0.0040832477385869	-1.1946702328185
TNFSF10	1.83922115764797	4.75502849774608	4.92183906187527	1.99618275735438e-06	2.49956797442636e-05	4.46535358581391
PLAUR	1.81168896147938	3.57968337347409	6.1407950170389	5.51586700848446e-09	1.61468967853751e-07	10.1285125201132
SQLE	1.68576960301801	4.30056863881306	5.16007676606896	6.74932854538269e-07	1.00822921611575e-05	5.50242146946009
TRIB3	1.66497064958697	3.10395112618846	5.00608097881446	1.36583482573123e-06	1.82662817178783e-05	4.82791834601748
MAGEA3	1.64517701918088	1.64553468956054	2.54614424374988	0.0117694873775838	0.037767268687957	-3.61875928125653
ZC3H12A	1.64133300668417	4.61344581196506	5.19751802306766	5.67401351087124e-07	8.70163512896651e-06	5.66866921646053
PYCARD	1.63883128557733	4.13028728931598	6.49337599829209	8.66834654452292e-10	3.30917931243542e-08	11.9183190513994
PMAIP1	1.63882387764139	3.01637114977106	5.8590496068566	2.31499479675723e-08	5.63976686750809e-07	8.74413637895177
RAC2	1.62913048775487	3.90592643227092	5.26136737920093	4.21235719088073e-07	6.73977150540917e-06	5.95417866935548
STAT1	1.59424013513133	5.69873646971363	5.68325256072105	5.54723250209707e-08	1.17350582191787e-06	7.90217937019551
ACKR3	1.57087531975082	3.92554443552201	3.18252725273574	0.0017327420813555	0.0077052726887528	-1.89302773028368
IL1A	1.53619503415335	2.04850548465354	2.91437310437553	0.0040381519281167	0.0156662375911723	-2.66257549728434
TNFRSF12A	1.52871136044137	4.66426991761193	4.7097859356298	5.08728688434313e-06	5.55347972926286e-05	3.57331623427345
TREM2	1.51459101633113	2.2502381630983	4.36411267957034	2.19621565300434e-05	0.0001930461730181	2.18468715175396
E2F1	1.51253280902528	3.23943964707596	7.22903919316136	1.52319918150024e-11	1.03577544342016e-09	15.8382956762229
G6PD	1.50988315887457	5.14761929152739	3.78527594744185	0.000211831865134	0.0013245578693437	0.0521764128876123
TYROBP	1.50911347684634	4.49046196704065	3.88317860455028	0.0001468030590985	0.0009719374947211	0.395214170649856
GSTP1	1.50775095928028	8.14098614156812	4.93415047306245	1.88901181373256e-06	2.38366026805016e-05	4.51805328509741
HMGB2	1.47574026103598	4.88153150653879	5.78587802921735	3.33729194945429e-08	7.65310603490782e-07	8.3916028918271
TGFB1	1.4560597670473	4.91277538694368	4.14054677476622	5.41896539181904e-05	0.0004139041272752	1.33162607851886
EPHA2	1.43878582930759	5.25302904175776	4.31830494067905	2.6500434768899e-05	0.0002269506263182	2.00695928317974
CTSV	1.43599459270462	2.52756809977919	4.06968405730418	7.16326792521038e-05	0.0005252169189341	1.06885791560801
ENO1	1.43258679376295	7.81945860389365	6.75170086560706	2.15339557635631e-10	9.80746487613067e-09	13.2675719297833
CD44	1.43147007999537	5.74266666217675	3.98970382771095	9.77371326591079e-05	0.0006869248117725	0.776768202087499
ICAM1	1.43029328879559	3.77509550938163	3.85286237086211	0.0001645776355025	0.0010729322282562	0.288204044688582
ZNF385A	1.42497521465889	4.65347516604719	3.07767192490487	0.0024283097310323	0.0102868305802589	-2.20115650826131
CTSC	1.39088965740698	4.03807586951461	4.53347506994751	1.08328630123155e-05	0.0001063945783516	2.85468805127053
BRCA1	1.35099550438539	2.3526757813757	6.63050164986288	4.15441063113175e-10	1.74515312298905e-08	12.6306916070878
PPIA	1.34246520482178	7.06986998479276	8.10638158182165	9.35431772553184e-14	1.17077677909249e-11	20.7926697282647
AP1S1	1.31233929805327	4.37661252121293	6.2905188026103	2.5322742884574503e-09	8.21060590482627e-08	10.8810035649351
GGCT	1.30730712297256	4.54962063177952	6.79230057828473	1.72542861429674e-10	8.20145452886669e-09	13.4824014475847
DDIAS	1.30518672166502	1.81838797452425	6.36522241850261	1.7101958943686502e-09	5.84510931855422e-08	11.2606612431795
HSPA1B	1.28824812321789	4.99951838899385	4.09770934452319	6.41744992328856e-05	0.0004784139295686	1.17233505166933
YWHAG	1.2834968903344	5.7808499245802	7.03086499306357	4.6269961453983095e-11	2.6968777533178702e-09	14.7593280471073
CD14	1.27692115407936	4.07516404411386	3.77716651604028	0.0002182969617387	0.0013593410806649	0.0240929971177506
TNFAIP3	1.27579723137782	4.04821159890657	3.82366827648567	0.0001836105191894	0.0011720431576944	0.185820265856025
CTSB	1.27101812356367	7.18039282608427	4.19775215225414	4.3149096253449e-05	0.0003407386697691	1.54644930653325
TNFRSF25	1.26566822135474	2.44059778709174	5.85127980981514	2.4069973719744e-08	5.81794784423519e-07	8.70656256133153
SLC3A2	1.26552647182544	5.06116370820797	4.95774496784359	1.69899037414333e-06	2.18736161462443e-05	4.61932598963632
FADD	1.26196181380314	3.46776114916797	3.73053848706152	0.0002592488765773	0.0015641189152469	-0.136393369449807
