Node	Type
AATF	Up
RPS7	Up
ABL2	Up
RAC2	Up
ACACA	Up
SREBF1	Up
PRKAA2	Down
BRCA1	Up
PRKAB1	Down
ACER2	Down
GBA	Up
ASAH2	Down
ACKR3	Up
CXCL12	Down
ACO1	Down
SOD2	Up
AP1M1	Up
AP1S1	Up
ARF1	Up
CLTA	Up
AP4M1	Up
AR	Down
STAT3	Up
SMAD3	Up
HSP90AA1	Up
HDAC1	Up
NKX3-1	Up
KDM1A	Up
BAK1	Up
BCL2A1	Up
BAX	Up
CYCS	Up
BID	Up
BBC3	Up
CAPN1	Up
BCL2L11	Up
PMAIP1	Up
BCAP31	Up
CASP8	Up
BCL10	Up
BIK	Up
FOXO3	Down
DDIT3	Up
BCL3	Up
NFKBIA	Up
GZMB	Up
CTSZ	Up
CTSC	Up
CTSV	Up
CTSK	Up
FADD	Up
CASP2	Up
CTSL	Up
CTSB	Up
CASP1	Up
BLOC1S2	Up
SNAPIN	Up
KXD1	Up
BMPR1B	Down
MSH2	Up
MSH6	Up
NBN	Up
FANCD2	Up
PRKDC	Up
STAT1	Up
PARP1	Up
BRCA2	Up
CHEK2	Up
PCGF2	Up
CA9	Down
HIF1A	Up
IL1A	Up
CDK5R1	Up
CAPNS1	Up
PYCARD	Up
IL1B	Up
IL33	Down
GSDMD	Up
YWHAG	Up
CASP3	Up
PARP2	Up
HIP1	Up
FAS	Up
STK3	Up
STK4	Up
PAK2	Up
TNFRSF10A	Up
TNFSF10	Up
TRAF2	Up
TNFRSF10B	Up
CD44	Up
ICAM1	Up
MET	Up
MMP9	Up
COL2A1	Down
LCK	Up
CD68	Up
LAMP3	Up
CDC37	Up
PINK1	Down
CDK5	Up
CEBPB	Up
CHGA	Down
SST	Down
CHMP4B	Up
HGS	Up
CHMP5	Up
CLU	Down
TREM2	Up
CSF2	Up
CTSG	Down
CTTN	Up
NCK1	Up
KIT	Down
HMGB1	Up
TRAP1	Up
HSPB1	Up
HTRA2	Up
ITPR1	Down
VDAC3	Up
CYP1B1	Down
GSTP1	Up
DAXX	Up
PML	Up
PPP1R15A	Up
TRIB3	Up
DEPTOR	Down
RHEB	Up
DNAJA1	Up
HSPA1B	Up
HSPA1A	Up
DNM1L	Up
PGAM5	Up
E2F1	Up
RB1	Up
E2F2	Up
TFDP1	Up
EIF2AK2	Up
EIF4G1	Up
RPS3	Up
ENO1	Up
G6PD	Up
GAPDH	Up
ERN1	Down
TNFRSF25	Up
PEA15	Up
FGA	Down
FGG	Down
FNIP2	Down
LAMTOR1	Up
RRAGC	Up
YWHAH	Up
YWHAE	Up
YWHAQ	Up
YWHAB	Up
YWHAZ	Up
FYCO1	Down
RAB7A	Up
GAB2	Down
SFN	Up
PIK3CD	Up
SYK	Up
LYN	Up
SIAH1	Up
GCLM	Up
GGCT	Up
KEAP1	Up
GSS	Up
GNA12	Up
GNA13	Up
GPX4	Up
TXNDC12	Up
GSK3A	Up
IRF1	Up
STAT2	Up
HIPK2	Down
HMGB2	Up
HNRNPK	Up
PCBP1	Up
HRAS	Up
IFNGR1	Up
RIPK2	Up
TBK1	Up
PLCG1	Up
MUC1	Down
IFNGR2	Up
IKBKE	Up
S100A13	Up
TGFB1	Up
PTGS2	Up
INHBA	Up
ITGAV	Up
TYROBP	Up
LEPR	Down
LTBR	Up
NEDD4	Up
PTPN1	Up
MMP1	Up
MYBBP1A	Up
NOC2L	Up
NLE1	Up
POLB	Up
PERP	Up
TP63	Up
PLAUR	Up
SERPINE1	Up
PPP1CA	Up
URI1	Up
PPT1	Up
TPP1	Up
PTGIS	Down
PTPN2	Up
VPS26A	Up
RALB	Up
RBCK1	Up
SPATA2	Up
SHARPIN	Up
TNFAIP3	Up
RPL8	Up
SIAH2	Up
USP13	Up
TGFB2	Up
SNX5	Up
TNFRSF12A	Up
TP73	Up
