Gene	p_value
BCAP31	0.0002850581162823
DYRK2	0.0029431851265507
VAMP7	0.003381800366866
DDIT3	0.00339785652641
TAF9	0.0034754668274268
PPP1R15A	0.0039845806180104
GLA	0.0045026687922122
HSPA1B	0.0081237813879636
CYCS	0.0084638310311314
TBK1	0.0135272720655322
NONO	0.015383251644043
DEDD2	0.0175246133008022
UBQLN2	0.0235595702518317
RBCK1	0.0260422315743737
AUP1	0.0275829916392747
MYH9	0.0277933687194993
PSMD10	0.0287780756890004
GPER1	0.029526077380271
ZMPSTE24	0.0342578268436929
HSPA1A	0.0398547870267383
