ID	RiskType	Score	Cell
TCGA-LN-A9FO-01A	High	0.0264927531876167	B cells naive
TCGA-IG-A50L-01A	High	0.0003276564752865	B cells naive
TCGA-Z6-A8JE-01A	High	0.0	B cells naive
TCGA-IG-A3YB-01A	Low	0.0	B cells naive
TCGA-Z6-AAPN-01A	High	0.0	B cells naive
TCGA-L5-A893-01A	Low	0.264916308788869	B cells naive
TCGA-L5-A43C-01A	Low	0.0194788377536139	B cells naive
TCGA-L5-A4OO-01A	High	0.0507596447763503	B cells naive
TCGA-Z6-A8JD-01A	Low	0.168475184396509	B cells naive
TCGA-V5-A7RC-06A	High	0.0	B cells naive
TCGA-V5-A7RC-01B	High	0.0324368663987465	B cells naive
TCGA-JY-A6FE-01A	Low	0.0006620142028068	B cells naive
TCGA-LN-A5U5-01A	High	0.0407116346587635	B cells naive
TCGA-IG-A8O2-01A	High	0.0106904411447943	B cells naive
TCGA-RE-A7BO-01A	High	0.0534257017006051	B cells naive
TCGA-2H-A9GK-01A	Low	0.0028273605195866	B cells naive
TCGA-L5-A8NM-01A	High	0.001438751967487	B cells naive
TCGA-R6-A6DN-01B	High	0.0	B cells naive
TCGA-VR-A8EW-01A	High	0.0542879429075799	B cells naive
TCGA-V5-AASX-01A	Low	0.0	B cells naive
TCGA-IG-A6QS-01A	High	0.0	B cells naive
TCGA-L7-A56G-01A	Low	0.0007318149278496	B cells naive
TCGA-LN-A4A9-01A	Low	0.0131745989283362	B cells naive
TCGA-LN-A7HW-01A	Low	0.001218885701357	B cells naive
TCGA-LN-A7HY-01A	High	0.0004071402502783	B cells naive
TCGA-IG-A97I-01A	High	0.0043867483787152	B cells naive
TCGA-LN-A7HX-01A	High	0.0	B cells naive
TCGA-LN-A9FR-01A	Low	0.0282287333150243	B cells naive
TCGA-LN-A49P-01A	High	0.0046413419885256	B cells naive
TCGA-LN-A5U6-01A	Low	0.0	B cells naive
TCGA-VR-A8ER-01A	High	0.0130256543354602	B cells naive
TCGA-LN-A4A1-01A	Low	0.0	B cells naive
TCGA-LN-A49X-01A	Low	0.0511551336376686	B cells naive
TCGA-LN-A49M-01A	High	0.0	B cells naive
TCGA-R6-A8WG-01A	High	0.0663157591806021	B cells naive
TCGA-LN-A9FQ-01A	Low	0.0620194328752604	B cells naive
TCGA-LN-A7HZ-01A	High	0.0012501876861804	B cells naive
TCGA-LN-A8I1-01A	Low	0.0	B cells naive
