Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-2H-A9GK-01A	0.00282736051958664	0	0.210840493735323	0.0144681211200842	0	0.245207758082684	0.0621525056651372	0	0.080372322629728	0	0.0650377155031974	0	0.00589487856177038	0.0500628616357694	0.00333474353653054	0.0441590349848317	0.00710282377235635	0.110161191712047	0	0.0899386419628021	0	0.00843954657815269	0.004	0.295183464105351	0.959487974232243
TCGA-LN-A4A4-01A	0.0276935460434025	0	0.0368483080177633	0	0	0.241454721033419	0.00525434488933074	0	0	0	0.0396290791921874	0	0	0.284040116704248	0.0826646210903092	0.0721263382526107	0.169739765261665	0.011792067805384	0.02875709170968	0	0	0	0.089	0.121821669756808	1.05196903769874
TCGA-L5-A4OI-01A	0	0.0515592800053865	0.0114304529050964	0.120677440022573	0	0.172851514814871	0	0	0.14356356294467	0	0	0.083384481439073	0.0140859245854308	0.156150557779159	0.0517212957733562	0.104156107959298	0	0.00875160155048902	0.0685800875216433	0	0	0.0130876926989546	0.397	0.0394928422088161	1.07994502608368
TCGA-L5-A4OM-01A	0	0	0.036869764890338	0.000840623500905416	0	0.310166619325729	0	0.0565004961588485	0.0262779991383575	0	0	0.0558539819015721	0.0416350513241708	0.16913239900598	0.0735343161447287	0	0.0582704130228972	0.0766995505104176	0.064461612518229	0	0.0265792559178876	0.00317791663993794	0.214	0.0722215872989446	1.05984560225709
TCGA-L5-A4OG-01A	0.0431263439312737	0	0.154115959855086	0	0	0.278269693343516	0.0827773673413302	0	0	0	0.0686902679955552	0	0	0.19427233980532	0.0749990847337887	0.0176715764693734	0	0.0485729649120328	0	0.0276756981569855	0	0.00982870345573813	0.08	0.128040920695336	1.03073780141216
TCGA-L5-A88Y-01A	0.0340034221203607	0	0.0201442647553302	0	0	0.124226919839646	0.0152612536390628	0.00728271402785978	0.101951951462391	0	0.0228917310410615	0.0127287692402822	0	0.220547751724828	0.0389778668353519	0.239528279096741	0.0179601279933873	0.018748302133712	0.0322581309810103	0	0	0.0934885151089751	0.075	0.129820529880401	1.04691308291381
TCGA-L5-A4OR-11A	0.0197074598122822	0	0.289045382244338	0.168329566398016	0	0.224545362149207	0.00718631126410975	0.0117711351968582	0.0285764037235222	0	0.0379476735347543	0	0.0091439756395138	0.0233750220627471	0.0332864313023159	0.0738162838583785	0	0	0.0336287034282718	0.039640289385685	0	0	0.095	0.116969240632374	1.03328501184553
TCGA-R6-A6XQ-01B	0.0129206966130579	0	0	0	0	0.276230207357455	0	0.0633937200910747	0.157068548201802	0	0	0.0787781919555259	0.0677043534721313	0.278524044050979	0	0	0	0.0573633570965483	0	0.00801688116142649	0	0	0.49	0.0258736045329676	1.10356604080678
TCGA-ZR-A9CJ-01B	0.065218128660638	0	0.0152620160445813	0.0158353606875916	0	0.185038627030206	0.0749860008753123	0.012748838066564	0	0	0	0.0555694075545421	0	0.204164298658885	0.0405868115406196	0.106222269086624	0	0.0475121021842351	0	0.118870352164934	0	0.0579857874452656	0.254	0.0640823004155307	1.07267486184549
TCGA-L5-A8NW-01A	0.0851060686231356	0	0.0163298372811303	0.0762917101440013	0	0.151286749776821	0.0620530545721736	0.0363783705617562	0.0302861848982069	0	0.0445139172040877	0	0.00096317897480103	0.0500809694395088	0.0875272819384837	0.235242849229805	0.0298415329163269	0.000676337908579599	0.0934219565311817	0	0	0	0.177	0.0819499447478796	1.04565363116913
TCGA-S8-A6BV-01A	0.00579297057776722	0	0.00305566723847659	0	0	0.24286467058561	0	0	0.0617152415825267	0	0	0.0217881624514874	0	0.338085075436358	0.028825777014079	0.23461313347095	0.00789510103670727	0	0.0553642006060376	0	0	0	0.014	0.219597106863042	1.02143565095798
TCGA-2H-A9GM-01A	0.0545023731117249	0	0.0653270528519019	0	0	0.242146292316609	0.0199252690854821	0.0298667159050187	0.113021052722626	0	0.0303715165034742	0	0	0.185313704621462	0.115921521684139	0.0889229724140859	0	0.0177147294156786	0.0369667993677977	0	0	0	0.51	0.0233673574600612	1.08129286765238
TCGA-LN-A4A5-01A	1.94396304759826e-05	0	0	0.0318760227859686	0	0.203565495311157	0	0	0.0195443219560587	0	0	0.0238006126232855	0	0.228129798103971	0.0871369599476862	0.0819188301042323	0.223028847314294	0.0471042316754821	0.0538754405473885	0	0	0	0.003	0.313432959109496	0.963075680454622
TCGA-LN-A7HY-01A	0.000407140250278392	0	0.230903503606637	0	0	0.163476577494644	0	0	0.00692068110770538	0.0227451147497113	0	0.113620519416335	0	0.0707633728146227	0.0675658326348415	0.211398720436412	0.0502800704808929	0	0.0619184670079206	0	0	0	0.016	0.2107502170295	0.994184798694332
