ID	RiskType	Score	Cell
TCGA-LN-A9FO-01A	High	-0.19853961640145	Activated B cell
TCGA-L5-A88Y-01A	Low	-0.249484598515325	Activated B cell
TCGA-IG-A50L-01A	High	-0.274308056341974	Activated B cell
TCGA-IG-A5B8-01A	High	-0.281611403295664	Activated B cell
TCGA-Z6-A9VB-01A	Low	-0.141990721813868	Activated B cell
TCGA-VR-A8ET-01A	High	-0.325001107920334	Activated B cell
TCGA-Z6-A8JE-01A	High	-0.257627613704529	Activated B cell
TCGA-R6-A8WC-01A	High	-0.38593742751921	Activated B cell
TCGA-L5-A88V-01A	High	-0.328009394180512	Activated B cell
TCGA-IG-A3YB-01A	Low	-0.201763155196423	Activated B cell
TCGA-L5-A8NF-01A	High	-0.31867406599858	Activated B cell
TCGA-Z6-AAPN-01A	High	-0.209065262981731	Activated B cell
TCGA-R6-A8W8-01B	High	-0.246024666479424	Activated B cell
TCGA-L5-A893-01A	Low	0.125492576954838	Activated B cell
TCGA-L5-A43C-01A	Low	-0.0342223371688298	Activated B cell
TCGA-L5-A4OO-01A	High	0.0277107416575538	Activated B cell
TCGA-Z6-A8JD-01A	Low	0.119198567066349	Activated B cell
TCGA-V5-A7RC-06A	High	-0.263165900641504	Activated B cell
TCGA-V5-A7RC-01B	High	-0.365222087838249	Activated B cell
TCGA-JY-A6FE-01A	Low	-0.230110177935743	Activated B cell
TCGA-L5-A891-01A	Low	-0.334486602305741	Activated B cell
TCGA-IG-A4QS-01A	High	-0.293216743552011	Activated B cell
TCGA-2H-A9GQ-01A	Low	-0.397186647689973	Activated B cell
TCGA-LN-A5U5-01A	High	-0.206235151334272	Activated B cell
TCGA-IG-A8O2-01A	High	-0.234590561029898	Activated B cell
TCGA-L5-A4OG-01A	Low	-0.160581052117158	Activated B cell
TCGA-L5-A4OT-01A	High	-0.168852426050263	Activated B cell
TCGA-R6-A6KZ-01A	High	-0.1767710407626	Activated B cell
TCGA-V5-A7RB-01A	High	-0.330800702213112	Activated B cell
TCGA-L5-A8NN-01A	High	-0.280598643214387	Activated B cell
TCGA-2H-A9GL-01A	High	-0.0736418034398003	Activated B cell
TCGA-KH-A6WC-01A	Low	-0.219223867650897	Activated B cell
TCGA-R6-A6XQ-01B	High	-0.366648539650103	Activated B cell
TCGA-RE-A7BO-01A	High	-0.289504926699224	Activated B cell
TCGA-L5-A4OW-01A	High	-0.23387555532565	Activated B cell
TCGA-L5-A4OP-01A	Low	-0.232411052300939	Activated B cell
TCGA-L5-A88Z-01A	High	-0.248171542158944	Activated B cell
TCGA-L5-A4OX-01A	High	-0.274236130644909	Activated B cell
TCGA-R6-A6DQ-01B	High	-0.143747887667951	Activated B cell
TCGA-2H-A9GK-01A	Low	-0.0378474486344637	Activated B cell
TCGA-IC-A6RE-01A	High	-0.0545977214005397	Activated B cell
TCGA-L5-A8NM-01A	High	-0.154435427933255	Activated B cell
TCGA-Q9-A6FW-01A	High	-0.115256842524067	Activated B cell
TCGA-R6-A6DN-01B	High	-0.289624043255877	Activated B cell
TCGA-VR-A8EW-01A	High	-0.219105688235627	Activated B cell
TCGA-L5-A8NR-01A	High	-0.306575470058812	Activated B cell
TCGA-2H-A9GN-01A	High	-0.349400139503068	Activated B cell
TCGA-V5-AASX-01A	Low	-0.190435623683347	Activated B cell
TCGA-V5-AASW-01A	High	-0.304340334653878	Activated B cell
TCGA-IG-A6QS-01A	High	-0.197189691344259	Activated B cell
TCGA-L7-A6VZ-01A	High	-0.320512753611523	Activated B cell
TCGA-LN-A7HV-01A	Low	-0.29369503320038	Activated B cell
TCGA-L7-A56G-01A	Low	-0.271910732586515	Activated B cell
TCGA-LN-A4A9-01A	Low	-0.237145697141059	Activated B cell
TCGA-LN-A7HW-01A	Low	-0.320439675477279	Activated B cell
TCGA-LN-A9FP-01A	Low	-0.153562325413245	Activated B cell
TCGA-LN-A7HY-01A	High	-0.220639892165136	Activated B cell
TCGA-IG-A97I-01A	High	-0.330764952904902	Activated B cell
TCGA-LN-A7HX-01A	High	-0.287075562625645	Activated B cell
TCGA-LN-A9FR-01A	Low	-0.256211195978753	Activated B cell
TCGA-LN-A8HZ-01A	Low	-0.268696885436285	Activated B cell
TCGA-LN-A49P-01A	High	-0.161756157259893	Activated B cell
TCGA-LN-A5U6-01A	Low	-0.314110380729302	Activated B cell
TCGA-LN-A4MQ-01A	Low	-0.360707657443735	Activated B cell
TCGA-VR-A8ER-01A	High	-0.196534452123968	Activated B cell
TCGA-LN-A49Y-01A	Low	-0.279298405564808	Activated B cell
TCGA-LN-A4A4-01A	Low	-0.354558604985183	Activated B cell
TCGA-LN-A4A1-01A	Low	-0.275488632217567	Activated B cell
TCGA-LN-A49X-01A	Low	-0.105862190840627	Activated B cell
TCGA-LN-A49M-01A	High	-0.307230942626067	Activated B cell
TCGA-R6-A8WG-01A	High	-0.246510890224348	Activated B cell
TCGA-LN-A4A3-01A	Low	-0.137970260441378	Activated B cell
TCGA-IG-A625-01A	High	-0.213988069279353	Activated B cell
TCGA-LN-A9FQ-01A	Low	-0.300905528397503	Activated B cell
TCGA-L5-A8NH-01A	High	-0.153140562809149	Activated B cell
TCGA-LN-A49S-01A	Low	-0.21694258192883	Activated B cell
TCGA-LN-A7HZ-01A	High	-0.183463306580297	Activated B cell
